id,games_id,player_id,points,def_rebounds,off_rebounds,steals,blocks,assists,fg3a,fg3m,fgm,fga,fta,ftm,turnovers,mins,fouls,created_at,updated_at,plus_minus,team_id
70,4,101,0,1,0,1,0,4,0,0,0,0,0,0,0,13,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,8,28
71,4,91,10,2,0,0,0,2,4,1,4,8,2,1,0,13,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,16,28
72,4,95,13,6,1,1,1,3,6,2,5,9,2,1,0,17,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,14,28
73,4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,6,28
74,4,102,3,0,1,0,0,0,1,0,0,1,4,3,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,6,28
75,4,446,6,0,2,1,0,1,1,0,2,7,2,2,1,19,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-17,7
76,4,469,9,7,0,1,0,3,5,2,3,8,2,1,2,30,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-14,7
77,4,458,21,5,6,0,1,3,0,0,10,10,1,1,1,23,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-8,7
78,4,457,17,7,1,2,3,6,3,1,7,17,3,2,4,5,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-11,7
79,4,453,2,2,1,0,0,1,7,0,1,11,0,0,2,25,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-22,7
80,4,436,6,6,1,0,0,2,1,0,2,6,2,2,0,19,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-16,7
81,4,463,8,0,0,0,0,1,0,0,3,5,2,2,1,21,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,7
82,4,468,5,1,0,0,0,2,7,1,2,10,0,0,2,20,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-8,7
83,4,470,16,0,0,0,2,1,4,1,4,8,8,7,3,18,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-16,7
84,4,464,0,4,1,0,1,0,0,0,0,1,0,0,1,15,6,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-16,7
85,4,465,2,1,0,1,0,2,1,0,1,2,0,0,0,5,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-6,7
86,4,466,0,1,1,0,0,0,0,0,0,0,0,0,2,5,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-6,7
87,4,444,0,0,0,0,0,0,1,0,0,3,0,0,0,5,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-6,7
